"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Post-lift pain free aerobic","Bike","Stairmaster unweighted works well for this if you dont have knee pain!","0.5","","2025-12-01","","111421.9921875","154","181","1602.572"," *01/12/2025 Peter Oehlinger: Felt the left knee in the beginning but it disappeared after a while.* *01/12/2025 Peter Oehlinger: Focused on high cadence: 88 on average Fueling: 100g/hour + 3l* *03/12/2025 Anna DeMonte: Knee feeling this more in the cycling or the running?* *03/12/2025 Peter Oehlinger: I usually feel it more during running. After the 3 hour ride I also felt it a bit but it disappeared until the next morning.*","3.0003707408905","10.3159999847412","","88","","128","145","","","0.653313904581153","127.49","4","127","49","0","0","","","","","","10","169","2","0","0","","","","","","5","5"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2025-12-02","","14480","","",""," *02/12/2025 Peter Oehlinger: Treadmill @6% incline. Adjusted distance and elevation manually. Today I felt the right knee a bit but it disappeared after a while. Right now (3 hours later) both knees feel ok. Fueling: 70g* *03/12/2025 Anna DeMonte: Hey Peter! What are the speeds you're doing at 6%? Lets start tracking this more closely in this block!* *03/12/2025 Peter Oehlinger: The average pace in the stats is correct. Started out @6:00min/km after 20min reduced it to ~6:19min/km a I approached 156bpm. Increased it a bit for the last 10min.*","1.50021862983704","2.6810907038657","","181","","147","156","","","0.662790006940997","73.75","4","46","38","0","0","","","","","","","","","","","","","","","","4","5"
"Indoor Cycling","Bike","","","","2025-12-02","","50702.21875","155","171","714.099"," *03/12/2025 Anna DeMonte: how are knees on the cycling volume?* *03/12/2025 Peter Oehlinger: Good. I stopped early because of my mind not the body. Indoor cycling is still a challenge but I think a really good training.*","1.33354723453522","10.5609998703003","","91","","130","147","","","0.75705680690483","75.75","4","40","36","0","0","","","","","","4","50","26","0","0","","","","","","3","5"
"Aerobic Choice (see note today!)","Walk","Hey Peter! Let me know how both knees are feeling today after Monday/Tuesday. I'm interested to see how cycling vs running feels. Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2025-12-03","","6289.81005859375","","",""," *03/12/2025 Peter Oehlinger: Stairmaster 25 @90 20 @95 30 @100 15 @90 100spm right now puts me close to LT1 (156bpm) after about 25-30min. Knees felt good. Chose the stairmaster because I don’t want to risk anything on the days before the strength workouts. Fueling: 70g + 1.5l*","1.50346195697784","1.16199994087219","","94","","143","157","","","0.656268319181831","72.46","49","36","0","0","","","","","","","","","","","","","","","","","4","5"
"Post-lift pain free aerobic","Walk","Stairmaster unweighted works well for this if you dont have knee pain!","0.5","","2025-12-04","","1348.61999511719","","",""," *04/12/2025 Peter Oehlinger: Stairmaster @85spm Had to stop early for private reasons but maybe I can go for a run in the evening.*","0.501467227935791","0.746999979019165","","80","","126","138","","","0.60405744289779","19.92","24","0","0","0","","","","","","","","","","","","","","","","","3","5"
"Running","Run","","","","2025-12-04","","12063.6201171875","","",""," *05/12/2025 Peter Oehlinger: Outdoor run. Almost no knee pain at all and also no pain on the next day. I pushed a bit uphill and just let it flow naturally downhill. No breaking but also not pushing. This felt good. HR max of 158 should still be below LT1 considering my last AeT test at 157 with no drift. Pace was good but still quite a lot to improve for the target goal pace of 11k +600m per hour*","1.14370250701904","2.9300000667572","","174","","139","158","","","0.648111570254316","53.46","12","17","24","0","0","","","","","","","","","","","","","","","","4","5"
"Pain-free Aerobic","Walk","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2025-12-05","","6479.77001953125","","",""," *05/12/2025 Peter Oehlinger: Stairmaster 10min @80 95min &85 Keeping HR low today. Fueling: 112g/h Knees feel awesome right now. Let’s see if this changes.*","1.75207591056824","1.02699995040894","","84","","129","139","","","0.59659303160758","70.05","91","0","0","0","","","","","","","","","","","","","","","","","4","3"
"Indoor Cycling","Bike","","","","2025-12-05","","42708.578125","159","162","675.832"," *05/12/2025 Peter Oehlinger: Felt my hamstring again and stopped early. Stretching helped but stupid me stopped when the tightness disappeared. Learning: stretch those hamstrings a bit more when doing so much strength work. Fueling: ~100g*","1.25009036064148","9.48999977111816","","81","","125","138","","","0.659254772077832","54.12","1","69","5","0","0","","","","","","6","69","0","0","0","","","","","","3","5"
"Long Run - Knee safe","Run","Long run if your knee is not aggravated at all. Lets stay in touch this week to make sure we go into this confident that your knee isn't going to be pesky.","3","","2025-12-06","","28671.9296875","","",""," *06/12/2025 Peter Oehlinger: Used this run to get a reference for future runs. This route is perfect for simulating Val d’Aran. First two laps are on a shorter route but from lap 3 onwards one lap is 5.5km +315m vert which matches Val d’Aran perfectly. The goal would be to stay below 30min and be able to hold this pace for 20 laps. Still a long way to go but it’s always good to have a goal 😊 @Anna: we should probably talk about how I should run the long runs. This time I pushed on the first four laps so that my HR on the ascents was always close to 158bpm (I crossed it for just one second on the last push lap…). This feels quite hard and I needed to back off after the fourth lap. Fueling: 98g/hour + less the a liter of water. I am not thirsty when it’s cold. Knees: Yesterday I didn’t feel anything on both knees. This morning, however, the left knee acted up a bit. Interestingly, when I started to run the right knee acted up a bit and the left knee felt silent. Super strange. But both times it was only minor pain (max pain 2 out of 10). After 5 min of running both knees felt good. They were not acting up again during the run. On the first two laps I felt amazing. Then, when my muscles started to get tired, I was a bit uncomfortable because I thought the knee pain might come back but they felt good throughout the entire run. Let’s see how they feel in a couple of hours/tomorrow.* *06/12/2025 Anna DeMonte: Hey Peter! Great feedback and here are my recommendations: These long runs need to be mostly easy, with HR well below the ceiling so we don’t accumulate fatigue that worsens knee symptoms or compromises quality later in the block. I know you like to push things, but this weekend run in this block is not meant to be up tempo (close to Lt1). We will add in more intense, closer to LT1 efforts later in the block, but now is the time for these to be long, easy, and build your aerobic capacity.* *06/12/2025 Anna DeMonte: That Lt1 heart rate is not a goal, its an ""absolute ceiling"" or moreso a hard ""do not cross"" line. In terms of Val d'Aran, this is great that we're starting to think about it, but far far too early to start looking at the paces. Another way to think of this is, your two strength sessions are very important. If you're feeling fatigued going into the next lift, we know we've gone too hard in the long run.* *06/12/2025 Anna DeMonte: Your fueling is excellent. No adjustments needed now* *06/12/2025 Anna DeMonte: Lastly, as far as we are concerned, this run is great information for the knee. It's encouraging that your pain isn't increasing, but also reiterates why we really want to keep these nice and easy!*","2.92070126533508","2.72699999809265","","177","","141","159","","","0.650874224278157","140.8","82","78","0","0","","","","","","","","","","","","","","","","","6","5"
"Pain-free Aerobic","Walk","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1","","2025-12-07","","3385.43994140625","","",""," *07/12/2025 Peter Oehlinger: Today I was feeling off. Bad sleep, no fueling could be the reason but I was also sweating more heavily. Stopped early even if this means I am just short of 20 hours for the week. Legs are not particularly heavy after yesterday’s long run. Only my calfs are sore but this is still a result of the calf raises. My right knee acted up a little in the morning. So from this side I guess the downhill running might have been a bit too much. From next week on I’ll do the long runs at a lower HR. This should do the trick.*","1.0336697101593","0.910000026226044","","82","","126","137","","","0.599253418184579","41.16","46","0","0","0","","","","","","","","","","","","","","","","","5","7"
